spkid,H,diameter,e,a,q,i,ad,albedo,spec_B,main_class
20001372,11.15,26.491,0.1483,2.766,2.356,16.44,3.18,0.039,L,S-type
20001385,10.87,19.526,0.1078,2.74,2.444,6.92,3.04,0.149,S,S-type
20001386,13.53,10.614,0.2873,2.363,1.684,11.82,3.04,0.061,Ch,C-type
20001414,13.1,15.105,0.1588,2.788,2.346,8.85,3.23,0.054,Ch,C-type
20001423,10.97,19.58,0.0826,2.861,2.625,2.91,3.1,0.338,S,S-type
20001433,11.8,12.687,0.1676,2.799,2.33,8.24,3.27,0.251,S,S-type
20001458,11.35,17.19,0.1824,2.624,2.146,12.54,3.1,0.1502,S,S-type
20001480,13.23,6.385,0.1092,2.202,1.962,4.86,2.44,0.257,S,S-type
20001483,12.05,10.633,0.1805,2.716,2.226,4.49,3.21,0.237,Sq,S-type
20001494,12.3,7.804,0.1311,2.19,1.903,2.46,2.48,0.349,Sa,S-type
20001542,10.59,42.374,0.1192,3.093,2.725,2.77,3.46,0.068,D,C-type
20001545,11.83,18.656,0.2377,2.771,2.112,2.95,3.43,0.097,K,S-type
20001549,12.38,10.376,0.0832,2.231,2.045,5.55,2.42,0.359,S,S-type
20001550,11.88,11.391,0.3141,2.543,1.745,8.88,3.34,0.257,S,S-type
20001553,11.55,13.772,0.0954,2.907,2.63,3.23,3.18,0.249,S,S-type
20001562,12.06,9.587,0.0785,2.226,2.051,4.88,2.4,0.366,S,S-type
20001563,12.44,7.234,0.0853,2.192,2.005,5.98,2.38,0.37,Sa,S-type
20001565,12.77,7.949,0.3482,2.393,1.56,21.5,3.23,0.239,Sq,S-type
20001587,11.57,15.444,0.1554,2.543,2.148,7.83,2.94,0.216,Sa,S-type
20001593,13.13,6.095,0.2809,2.225,1.6,9.98,2.85,0.307,S,S-type
20001594,12.02,10.545,0.1946,2.269,1.827,8.94,2.71,0.262,S,S-type
20001601,12.32,7.548,0.1302,2.234,1.943,4.94,2.52,0.366,Sl,S-type
20001603,10.96,39.564,0.0941,2.755,2.496,8.55,3.01,0.05,Ch,C-type
20001618,11.18,17.495,0.0309,2.868,2.779,3.22,2.96,0.145,S,S-type
20001620,15.27,2.56,0.3356,1.246,0.828,13.34,1.66,0.29,S,S-type
20001627,12.83,9.12,0.397,1.863,1.124,8.45,2.6,0.15,S,S-type
20001629,12.59,8.536,0.1543,2.239,1.894,9.7,2.58,0.256,S,S-type
20001634,12.96,9.035,0.1627,2.245,1.88,7.6,2.61,0.179,S,S-type
20001635,11.04,17.127,0.0616,2.852,2.676,1.83,3.03,0.219,S,S-type
20001642,10.94,16.24,0.0677,2.75,2.564,10.8,2.94,0.351,S,S-type
20001659,10.04,28.01,0.2607,2.783,2.057,16.43,3.51,0.271,S,S-type
20001660,11.59,11.342,0.3005,2.396,1.676,20.6,3.12,0.239,S,S-type
20001662,11.71,12.409,0.1739,2.742,2.265,4.23,3.22,0.258,Sr,S-type
20001664,12.77,8.424,0.2256,2.338,1.811,6.12,2.87,0.382,S,S-type
20001667,11.99,8.998,0.1558,2.19,1.849,4.62,2.53,0.455,Sa,S-type
20001680,11.24,13.96,0.1817,2.725,2.23,4.26,3.22,0.3,S,S-type
20001685,14.28,3.4,0.4361,1.368,0.771,9.38,1.96,0.31,S,S-type
20001702,11.07,34.645,0.1424,2.858,2.451,9.96,3.27,0.065,L,S-type
20001706,13.09,6.111,0.1146,2.125,1.882,1.88,2.37,0.359,S,S-type
20001729,12.59,9.037,0.1009,2.23,2.005,2.44,2.45,0.246,S,S-type
20001734,11.88,26.425,0.2289,2.78,2.143,8.34,3.42,0.051,Ch,C-type
20001738,12.72,7.887,0.2026,2.184,1.742,4.88,2.63,0.341,S,S-type
20001747,13.57,6.35,0.1103,1.709,1.521,21.42,1.9,0.2005,Sl,S-type
20001751,12.08,10.929,0.1722,2.791,2.311,8.12,3.27,0.195,S,S-type
20001777,11.61,11.86,0.0195,2.626,2.574,3.15,2.68,0.244,Sq,S-type
20001783,12.19,24.268,0.133,2.662,2.308,11.5,3.02,0.055,Ch,C-type
20001795,12.23,23.894,0.1906,2.787,2.255,7.53,3.32,0.049,Ch,C-type
20001797,12.72,9.077,0.0246,2.236,2.181,3.14,2.29,0.178,S,S-type
20001798,13.02,6.631,0.1219,2.199,1.931,6.19,2.47,0.294,S,S-type
20001799,11.52,18.196,0.1187,3.026,2.667,11.49,3.39,0.233,K,S-type
20001807,12.59,9.135,0.178,2.226,1.83,3.49,2.62,0.309,S,S-type
20001830,12.69,7.71,0.0566,2.188,2.064,3.96,2.31,0.274,S,S-type
20001831,12.53,8.083,0.1287,2.239,1.951,5.64,2.53,0.296,S,S-type
20001836,12.16,22.24,0.1948,2.782,2.24,7.05,3.32,0.042,Ch,C-type
20001839,12.05,8.75,0.1682,2.799,2.328,10.17,3.27,0.44,S,S-type
20001848,11.21,17.03,0.0461,2.871,2.739,1.44,3.0,0.242,S,S-type
20001856,13.1,6.62,0.0801,2.237,2.057,4.74,2.42,0.335,S,S-type
20001857,12.35,7.986,0.1342,2.244,1.943,4.4,2.55,0.333,S,S-type
20001858,12.2,10.769,0.0783,2.699,2.488,1.66,2.91,0.383,L,S-type
20001863,15.45,2.1,0.6063,2.261,0.89,18.35,3.63,0.24,Sq,S-type
20001864,14.86,3.7,0.6143,1.461,0.564,22.21,2.36,0.273,Sr,S-type
20001865,16.79,1.2,0.4668,1.08,0.576,16.1,1.58,0.22,S,S-type
20001866,12.5,8.48,0.538,1.894,0.875,41.21,2.91,0.15,S,S-type
20001882,11.66,17.766,0.0917,3.006,2.731,9.49,3.28,0.124,K,S-type
20001888,11.92,11.633,0.1695,2.545,2.114,5.85,2.98,0.274,S,S-type
20001903,10.55,27.642,0.0489,3.002,2.855,10.99,3.15,0.071,K,S-type
20001904,11.15,13.503,0.0748,2.746,2.54,12.83,2.95,0.581,R,S-type
20001917,14.41,5.7,0.5057,2.149,1.062,23.96,3.24,0.195,Sl,S-type
20001932,13.69,5.414,0.1571,2.373,2.0,1.9,2.75,0.219,Sl,S-type
20001936,11.82,33.905,0.1389,2.674,2.303,10.25,3.05,0.031,Ch,C-type
20001943,15.7,2.3,0.2561,1.43,1.064,8.71,1.8,0.17,L,S-type
20001968,11.85,13.154,0.1113,2.739,2.434,4.59,3.04,0.178,S,S-type
20001970,12.42,19.352,0.1616,2.779,2.33,7.07,3.23,0.051,Ch,C-type
20001977,11.83,17.211,0.074,2.781,2.575,7.77,2.99,0.15,Sq,S-type
20001980,13.84,4.3,0.3647,1.71,1.086,26.87,2.33,0.25,Sl,S-type
20002019,12.48,7.865,0.1663,2.24,1.868,4.05,2.61,0.496,S,S-type
20002022,11.89,12.634,0.1165,2.707,2.391,5.65,3.02,0.175,S,S-type
20002029,13.14,6.893,0.1285,2.35,2.048,5.59,2.65,0.257,S,S-type
20002038,12.0,10.959,0.0922,2.434,2.21,14.81,2.66,0.168,Sa,S-type
20002040,11.65,33.901,0.1911,3.113,2.518,14.63,3.71,0.031,Ch,C-type
20002053,11.97,11.064,0.1412,2.802,2.407,8.51,3.2,0.251,S,S-type
20002056,12.4,7.783,0.1385,2.218,1.911,3.94,2.53,0.351,S,S-type
20002062,17.11,1.1,0.1829,0.967,0.79,18.93,1.14,0.26,Sr,S-type
20002063,17.21,1.024,0.3494,1.078,0.701,9.44,1.45,0.203,Sq,S-type
20002064,12.71,13.61,0.3303,2.178,1.458,5.7,2.9,0.0549,S,S-type
20002074,14.09,3.189,0.0818,1.8,1.653,30.08,1.95,0.491,Sa,S-type
20002078,13.03,4.639,0.3747,2.37,1.482,20.16,3.26,0.404,Sq,S-type
20002085,11.95,13.356,0.0844,2.699,2.471,3.83,2.93,0.131,L,S-type
20002087,13.16,6.569,0.058,2.206,2.078,1.83,2.33,0.284,S,S-type
20002088,12.9,7.37,0.0797,2.207,2.032,5.54,2.38,0.35,S,S-type
20002089,11.42,16.123,0.1549,2.535,2.143,15.37,2.93,0.276,Sq,S-type
20002099,15.11,5.18,0.3607,2.304,1.473,26.96,3.13,0.056,Ch,C-type
20002107,11.65,16.66,0.0769,2.627,2.425,8.83,2.83,0.175,S,S-type
20002118,11.86,11.434,0.2214,2.546,1.982,6.3,3.11,0.214,S,S-type
20002131,12.84,8.252,0.1109,1.887,1.678,33.99,2.1,0.244,S,S-type
20002141,11.7,12.439,0.1303,2.803,2.438,5.94,3.17,0.314,Sl,S-type
20002147,12.28,23.035,0.0584,3.173,2.987,10.09,3.36,0.038,Ch,C-type
20002152,10.82,44.559,0.2202,3.125,2.437,13.97,3.81,0.047,Ch,C-type
20002157,12.17,13.423,0.1103,2.788,2.48,8.61,3.1,0.17,S,S-type
20002167,12.31,8.998,0.1874,2.541,2.065,6.02,3.02,0.379,S,S-type
20002185,11.55,14.843,0.1622,2.707,2.268,9.6,3.15,0.242,S,S-type
20002189,13.16,6.255,0.2258,2.404,1.861,13.92,2.95,0.344,S,S-type
20002201,15.34,1.8,0.7107,2.179,0.63,2.52,3.73,0.4328,Sq,S-type
20002246,10.46,48.424,0.091,3.953,3.594,6.5,4.31,0.045,D,C-type
20002253,12.93,5.469,0.2781,2.283,1.648,3.88,2.92,0.404,Sl,S-type
20002268,11.85,13.422,0.114,2.939,2.604,3.3,3.27,0.181,S,S-type
20002280,13.44,6.14,0.1411,2.179,1.871,3.57,2.49,0.27,Sa,S-type
20002305,11.77,12.684,0.0303,2.785,2.701,7.46,2.87,0.209,S,S-type
20002308,12.01,17.719,0.1719,2.549,2.111,14.17,2.99,0.177,S,S-type
20002335,13.81,6.367,0.3605,2.123,1.358,36.31,2.89,0.205,Sa,S-type
20002353,11.76,12.564,0.1143,2.803,2.483,4.8,3.12,0.213,S,S-type
20002354,11.99,13.341,0.1052,2.732,2.445,3.27,3.02,0.171,L,S-type
20002369,12.18,10.227,0.0456,2.782,2.655,2.63,2.91,0.293,S,S-type
20002371,12.64,7.465,0.0155,2.44,2.402,1.78,2.48,0.348,R,S-type
20002373,12.51,8.664,0.1737,2.794,2.309,10.08,3.28,0.236,S,S-type
20002380,13.04,6.49,0.0602,2.192,2.06,1.92,2.32,0.319,S,S-type
20002386,11.75,11.91,0.1587,2.814,2.367,9.09,3.26,0.284,S,S-type
20002396,11.65,10.479,0.0728,2.794,2.591,12.6,3.0,0.368,Sa,S-type
20002401,12.75,9.015,0.0575,2.771,2.612,4.32,2.93,0.288,S,S-type
20002402,12.84,7.437,0.1306,2.222,1.932,5.17,2.51,0.291,Sl,S-type
20002409,12.96,8.696,0.1914,2.266,1.832,3.51,2.7,0.213,S,S-type
20002410,12.79,6.385,0.0631,2.216,2.076,2.4,2.36,0.299,Sl,S-type
20002427,12.81,7.989,0.1628,2.742,2.296,4.16,3.19,0.194,Sq,S-type
20002428,11.61,23.652,0.0968,3.163,2.857,9.31,3.47,0.116,Ch,C-type
20002430,12.09,12.467,0.2141,2.363,1.857,23.45,2.87,0.238,Sl,S-type
20002438,13.04,7.179,0.1091,2.244,1.999,4.9,2.49,0.468,S,S-type
20002448,11.03,38.519,0.116,2.791,2.467,17.69,3.11,0.055,L,S-type
20002451,11.9,11.848,0.1521,2.725,2.31,8.59,3.14,0.288,S,S-type
20002465,12.51,21.685,0.0768,2.752,2.54,3.86,2.96,0.024,Ch,C-type
20002467,12.77,8.127,0.1608,2.213,1.857,5.8,2.57,0.283,Sl,S-type
20002478,12.26,9.238,0.0677,2.226,2.075,4.14,2.38,0.252,S,S-type
20002482,12.85,11.31,0.0613,2.929,2.749,3.13,3.11,0.124,S,S-type
20002493,12.99,7.401,0.1691,2.789,2.318,8.73,3.26,0.322,S,S-type
20002504,12.03,10.579,0.0869,2.763,2.523,4.07,3.0,0.301,Sq,S-type
20002569,11.09,26.004,0.1638,2.625,2.195,11.5,3.06,0.072,D,C-type
20002575,12.88,6.409,0.123,2.24,1.964,4.67,2.52,0.392,Sr,S-type
20002598,13.3,15.694,0.2161,2.783,2.181,7.78,3.38,0.049,Ch,C-type
20002604,13.09,14.9,0.2329,2.387,1.831,14.84,2.94,0.0552,Sa,S-type
20002631,12.13,10.765,0.1608,2.797,2.347,9.59,3.25,0.242,S,S-type
20002635,12.95,8.458,0.0779,2.232,2.058,4.17,2.41,0.257,S,S-type
20002675,12.36,10.96,0.102,2.212,1.987,2.75,2.44,0.213,S,S-type
20002709,13.2,6.559,0.0694,2.196,2.043,2.74,2.35,0.259,S,S-type
20002724,11.64,20.73,0.1229,2.928,2.568,3.98,3.29,0.086,K,S-type
20002737,11.99,12.766,0.1938,2.747,2.215,8.81,3.28,0.236,S,S-type
20002746,13.49,5.221,0.0837,2.248,2.06,3.98,2.44,0.373,Sr,S-type
20002748,12.58,8.509,0.133,2.806,2.433,4.22,3.18,0.21,S,S-type
20002750,13.41,4.923,0.0746,2.213,2.048,5.17,2.38,0.228,S,S-type
20002789,13.72,4.766,0.1637,2.228,1.863,3.82,2.59,0.264,S,S-type
20002791,12.51,8.384,0.1727,2.396,1.983,31.08,2.81,0.247,Sa,S-type
20002801,12.11,11.525,0.1712,2.801,2.321,9.55,3.28,0.204,S,S-type
20002818,14.2,3.911,0.1489,2.377,2.023,2.96,2.73,0.284,S,S-type
20002827,12.33,9.301,0.0318,2.309,2.235,8.63,2.38,0.324,S,S-type
20002834,12.05,11.417,0.1612,2.539,2.13,6.43,2.95,0.237,S,S-type
20002840,12.68,7.701,0.0945,2.398,2.171,8.51,2.62,0.231,Sl,S-type
20002852,12.87,12.871,0.0872,2.786,2.543,1.7,3.03,0.097,Ch,C-type
20002855,13.34,9.022,0.1694,2.453,2.038,8.14,2.87,0.105,Sl,S-type
20002864,13.12,15.57,0.1461,2.748,2.347,3.14,3.15,0.058,Ch,C-type
20002872,12.31,13.629,0.1174,2.742,2.42,2.88,3.06,0.15,D,C-type
20002873,13.09,6.426,0.1576,2.253,1.898,5.9,2.61,0.272,Sq,S-type
20002874,13.0,6.552,0.1339,2.245,1.944,4.89,2.55,0.251,S,S-type
20002875,12.47,9.511,0.0999,2.798,2.519,9.02,3.08,0.282,S,S-type
20002881,13.17,5.672,0.1538,2.248,1.902,4.62,2.59,0.241,S,S-type
20002902,14.11,4.12,0.1986,2.204,1.766,4.38,2.64,0.247,Sq,S-type
20002905,12.08,10.224,0.0989,2.802,2.524,8.91,3.08,0.273,S,S-type
20002911,11.91,12.214,0.0963,2.793,2.524,9.62,3.06,0.358,S,S-type
20002917,12.13,9.553,0.1129,2.794,2.478,12.81,3.11,0.404,S,S-type
20002934,11.75,21.941,0.0585,3.165,2.98,8.82,3.35,0.11,Ch,C-type
20002949,13.24,6.959,0.1406,2.194,1.886,4.87,2.5,0.23,S,S-type
20002953,11.86,12.546,0.0249,2.828,2.758,1.07,2.9,0.257,S,S-type
20002955,13.47,5.427,0.1164,2.18,1.926,3.59,2.43,0.315,S,S-type
20002956,12.39,9.35,0.0909,2.765,2.514,2.87,3.02,0.292,Sr,S-type
20002957,11.04,22.473,0.0918,3.021,2.743,8.7,3.3,0.211,K,S-type
20002977,12.61,9.05,0.1693,2.786,2.314,9.59,3.26,0.179,S,S-type
20002988,11.93,13.671,0.1243,2.608,2.284,14.73,2.93,0.216,S,S-type
20003020,12.43,11.981,0.0621,2.761,2.59,6.27,2.93,0.178,Sl,S-type
20003028,10.88,25.58,0.0311,3.018,2.924,9.51,3.11,0.1417,K,S-type
20003040,13.93,3.377,0.2003,1.841,1.472,46.64,2.21,0.479,S,S-type
20003060,13.28,7.145,0.1773,2.279,1.875,7.26,2.68,0.218,S,S-type
20003065,12.44,19.499,0.0636,2.718,2.545,4.29,2.89,0.066,Ch,C-type
20003085,13.29,6.976,0.1008,2.388,2.147,3.83,2.63,0.209,Sl,S-type
20003121,13.44,6.059,0.0859,2.228,2.036,6.36,2.42,0.313,S,S-type
20003122,14.1,4.9,0.4231,1.769,1.021,22.14,2.52,0.231,S,S-type
20003151,11.64,13.618,0.1375,2.764,2.384,19.51,3.14,0.237,S,S-type
20003170,12.6,9.597,0.0896,2.927,2.665,2.02,3.19,0.304,S,S-type
20003175,13.62,5.942,0.2123,2.364,1.862,0.65,2.87,0.112,S,S-type
20003181,12.75,7.961,0.0647,2.229,2.085,3.96,2.37,0.216,S,S-type
20003199,15.03,2.2,0.2842,1.574,1.127,32.96,2.02,0.42,Sq,S-type
20003209,13.47,5.818,0.0525,2.192,2.077,5.23,2.31,0.25,S,S-type
20003216,13.9,4.029,0.3022,2.397,1.673,4.91,3.12,0.433,S,S-type
20003248,11.03,36.553,0.1515,3.202,2.717,10.9,3.69,0.05,D,C-type
20003249,13.62,5.108,0.2461,2.347,1.769,3.37,2.92,0.184,S,S-type
20003255,13.59,4.023,0.3629,2.373,1.512,21.36,3.23,0.341,S,S-type
20003287,14.37,5.515,0.3006,2.365,1.654,12.08,3.08,0.132,L,S-type
20003288,15.35,2.8,0.4549,2.035,1.109,5.93,2.96,0.22,K,S-type
20003306,13.18,7.61,0.1455,2.247,1.92,4.53,2.57,0.282,S,S-type
20003309,13.72,5.038,0.0536,1.818,1.72,21.14,1.91,0.408,S,S-type
20003314,13.13,6.776,0.0445,2.218,2.12,7.4,2.32,0.221,S,S-type
20003320,13.31,6.706,0.0486,2.458,2.339,4.06,2.58,0.188,S,S-type
20003349,12.7,10.136,0.0336,2.738,2.646,4.24,2.83,0.187,L,S-type
20003363,12.27,9.365,0.0971,2.777,2.508,3.34,3.05,0.319,Sq,S-type
20003364,13.75,5.399,0.1043,2.199,1.969,5.55,2.43,0.183,S,S-type
20003371,12.31,10.973,0.014,2.74,2.702,9.68,2.78,0.258,Sq,S-type
20003376,12.53,7.894,0.0676,2.349,2.19,6.35,2.51,0.212,Sq,S-type
20003385,12.53,7.689,0.0418,2.221,2.128,6.81,2.31,0.318,S,S-type
20003394,13.29,6.298,0.1955,2.318,1.865,7.09,2.77,0.271,S,S-type
20003395,11.93,10.863,0.0529,2.792,2.644,4.02,2.94,0.207,Sr,S-type
20003401,12.38,7.023,0.3583,2.369,1.52,21.8,3.22,0.307,S,S-type
20003417,13.67,4.581,0.2294,2.421,1.866,7.95,2.98,0.25,S,S-type
20003430,12.71,8.492,0.0979,2.759,2.489,4.43,3.03,0.269,Sq,S-type
20003458,12.74,7.396,0.1565,2.45,2.067,2.13,2.83,0.245,Sl,S-type
20003474,12.95,8.08,0.2071,2.557,2.027,5.99,3.09,0.171,Sa,S-type
20003491,12.33,8.001,0.0937,2.794,2.532,4.02,3.06,0.303,Sq,S-type
20003493,13.38,6.3,0.0871,2.203,2.011,5.98,2.39,0.281,S,S-type
20003507,11.59,24.917,0.1576,3.133,2.639,3.25,3.63,0.096,Ch,C-type
20003511,12.23,9.641,0.1983,2.747,2.202,8.68,3.29,0.3,S,S-type
20003526,12.48,22.055,0.092,2.794,2.537,8.49,3.05,0.044,Ch,C-type
20003527,13.02,7.163,0.1221,2.291,2.012,5.51,2.57,0.208,S,S-type
20003534,12.4,9.011,0.1926,2.754,2.223,7.64,3.28,0.229,S,S-type
20003545,12.4,12.435,0.0551,2.87,2.711,2.97,3.03,0.165,Sa,S-type
20003546,12.45,9.98,0.0249,2.695,2.628,7.02,2.76,0.234,Sa,S-type
20003552,13.05,19.0,0.7073,4.267,1.249,31.06,7.29,0.03,D,C-type
20003563,12.81,16.924,0.179,2.792,2.292,6.96,3.29,0.05,Ch,C-type
20003576,13.11,7.366,0.1328,2.394,2.076,10.09,2.71,0.194,Sl,S-type
20003592,13.86,5.354,0.1899,2.346,1.901,9.67,2.79,0.224,S,S-type
20003611,13.15,14.044,0.2142,2.787,2.19,8.49,3.38,0.044,Ch,C-type
20003628,12.94,6.914,0.2981,2.539,1.782,6.88,3.3,0.359,O,C-type
20003630,13.12,13.403,0.2057,2.769,2.199,7.42,3.34,0.031,Ch,C-type
20003636,14.08,4.055,0.1756,2.277,1.877,4.1,2.68,0.356,S,S-type
20003640,12.65,7.148,0.0858,2.225,2.034,4.31,2.42,0.239,S,S-type
20003654,14.33,4.28,0.2009,2.262,1.808,2.11,2.72,0.266,Sq,S-type
20003658,13.68,5.021,0.0645,2.186,2.045,4.01,2.33,0.335,S,S-type
20003669,13.36,6.243,0.0705,2.214,2.058,4.82,2.37,0.238,S,S-type
20003674,12.01,9.068,0.3753,2.361,1.475,21.03,3.25,0.309,Sk,S-type
20003678,12.85,7.972,0.1911,2.552,2.064,8.29,3.04,0.253,S,S-type
20003687,11.83,30.932,0.1991,2.729,2.186,15.79,3.27,0.046,Ch,C-type
20003700,12.66,7.753,0.2237,2.417,1.876,12.1,2.96,0.233,Sk,S-type
20003701,12.65,9.013,0.091,2.799,2.544,4.92,3.05,0.261,S,S-type
20003712,11.76,11.159,0.2556,2.735,2.036,31.71,3.43,0.325,S,S-type
20003713,11.75,16.024,0.0976,3.022,2.727,11.38,3.32,0.189,K,S-type
20003737,12.62,6.968,0.3962,2.407,1.453,20.13,3.36,0.288,S,S-type
20003744,13.17,14.758,0.275,2.632,1.908,3.75,3.36,0.046,Ch,C-type
20003767,11.61,13.393,0.1394,2.603,2.24,13.7,2.97,0.326,Sa,S-type
20003775,12.97,17.091,0.229,2.788,2.149,8.24,3.43,0.036,Ch,C-type
20003788,12.37,9.799,0.1034,2.792,2.503,9.68,3.08,0.32,S,S-type
20003792,13.42,5.161,0.2198,2.292,1.789,23.68,2.8,0.289,S,S-type
20003800,15.2,1.624,0.0758,1.578,1.458,14.85,1.7,0.657,S,S-type
20003809,12.79,8.243,0.104,2.693,2.412,6.56,2.97,0.285,S,S-type
20003813,13.71,5.108,0.176,2.191,1.805,4.16,2.58,0.324,S,S-type
20003819,12.14,10.307,0.1397,2.771,2.384,11.11,3.16,0.358,Sr,S-type
20003824,13.55,5.183,0.2366,2.254,1.721,2.8,2.79,0.257,S,S-type
20003829,12.28,24.33,0.1634,2.789,2.334,7.54,3.25,0.0393,Ch,C-type
20003831,13.57,5.776,0.1956,2.167,1.743,4.58,2.59,0.211,S,S-type
20003841,13.48,6.252,0.1598,2.274,1.911,5.22,2.64,0.294,S,S-type
20003844,11.85,15.538,0.1055,2.731,2.442,3.83,3.02,0.168,L,S-type
20003853,12.84,8.058,0.1379,2.808,2.421,9.08,3.2,0.229,S,S-type
20003858,14.05,3.315,0.2429,2.19,1.658,7.71,2.72,0.339,Sa,S-type
20003860,11.75,12.812,0.153,2.807,2.377,8.13,3.24,0.172,S,S-type
20003861,12.44,8.175,0.191,2.552,2.065,5.69,3.04,0.29,S,S-type
20003862,13.12,6.488,0.2481,2.543,1.912,8.99,3.17,0.349,S,S-type
20003873,12.9,5.021,0.1336,1.892,1.639,23.36,2.14,0.419,S,S-type
20003903,12.15,9.755,0.0847,2.927,2.679,1.3,3.18,0.294,Sq,S-type
20003920,13.18,5.956,0.2715,2.254,1.642,9.04,2.87,0.339,Sa,S-type
20003971,11.43,31.996,0.1837,2.85,2.326,13.0,3.37,0.058,Ch,C-type
20003972,13.99,4.124,0.1778,2.163,1.778,4.15,2.55,0.18,S,S-type
20004001,13.78,4.641,0.1722,2.287,1.893,5.46,2.68,0.392,S,S-type
20004033,13.77,4.781,0.0921,2.24,2.033,5.12,2.45,0.256,S,S-type
20004034,18.49,0.42,0.4441,1.06,0.589,11.17,1.53,0.52,O,C-type
20004037,12.71,7.083,0.1564,2.774,2.34,8.46,3.21,0.352,Sq,S-type
20004039,12.93,6.634,0.0607,2.417,2.27,5.04,2.56,0.473,S,S-type
20004051,12.75,7.657,0.1097,2.789,2.483,2.72,3.09,0.292,Sq,S-type
20004072,13.5,4.694,0.0645,2.145,2.007,2.16,2.28,0.384,S,S-type
20004082,13.61,9.535,0.2574,2.391,1.775,9.6,3.01,0.029,Ch,C-type
20004096,12.92,7.664,0.1502,2.81,2.388,9.07,3.23,0.277,Sl,S-type
20004116,13.88,4.693,0.0803,1.872,1.722,24.11,2.02,0.245,Sl,S-type
20004135,12.47,24.207,0.2337,2.787,2.136,7.95,3.44,0.03,Ch,C-type
20004157,12.51,21.01,0.1632,2.672,2.236,12.82,3.11,0.0695,Ch,C-type
20004179,15.3,5.4,0.6248,2.543,0.954,0.45,4.13,0.405,Sk,S-type
20004182,12.3,10.397,0.1347,2.798,2.421,8.07,3.17,0.215,Sr,S-type
20004183,14.16,3.651,0.6361,1.981,0.721,6.67,3.24,0.097,Sq,S-type
20004197,14.98,1.8,0.7724,2.295,0.522,12.6,4.07,0.37,Sq,S-type
20004222,12.42,9.636,0.2966,2.366,1.664,3.74,3.07,0.209,S,S-type
20004261,13.1,6.688,0.1104,2.793,2.485,2.66,3.1,0.288,Sq,S-type
20004272,12.94,7.675,0.2491,2.368,1.778,9.27,2.96,0.119,S,S-type
20004280,13.52,5.942,0.0092,2.377,2.355,4.63,2.4,0.262,S,S-type
20004284,13.44,10.938,0.2751,2.399,1.739,11.77,3.06,0.128,Ch,C-type
20004287,13.52,5.875,0.1868,2.208,1.795,5.48,2.62,0.269,S,S-type
20004299,12.93,7.938,0.1717,2.243,1.858,5.09,2.63,0.256,S,S-type
20004305,12.83,7.882,0.0694,2.917,2.714,1.81,3.12,0.259,S,S-type
20004327,11.85,14.8,0.224,2.772,2.151,16.67,3.39,0.097,Sk,S-type
20004340,12.79,8.11,0.2302,2.395,1.844,25.15,2.95,0.155,S,S-type
20004341,16.08,3.177,0.68,1.834,0.587,11.84,3.08,0.054,O,C-type
20004343,12.83,18.271,0.1711,2.789,2.312,6.94,3.27,0.058,Ch,C-type
20004352,11.75,11.61,0.1943,2.763,2.226,11.06,3.3,0.29,S,S-type
20004374,13.38,5.687,0.1697,2.224,1.846,4.85,2.6,0.388,S,S-type
20004382,12.56,8.746,0.1939,2.543,2.05,6.24,3.04,0.284,Sa,S-type
20004387,12.85,7.137,0.0119,2.438,2.409,4.27,2.47,0.263,S,S-type
20004407,12.67,9.316,0.0587,2.714,2.555,4.72,2.87,0.311,Sa,S-type
20004417,12.22,11.1,0.1057,2.758,2.466,9.01,3.05,0.36,S,S-type
20004422,12.76,6.336,0.1796,2.238,1.836,4.8,2.64,0.118,S,S-type
20004426,12.34,10.641,0.0663,2.754,2.571,2.09,2.94,0.19,L,S-type
20004435,13.39,5.042,0.3348,2.316,1.541,21.94,3.09,0.35,S,S-type
20004479,13.1,6.883,0.1001,2.755,2.479,5.31,3.03,0.31,S,S-type
20004491,13.74,5.114,0.0293,2.174,2.11,3.67,2.24,0.389,Sa,S-type
20004512,12.13,10.767,0.209,2.764,2.187,10.34,3.34,0.265,Sa,S-type
20004516,12.7,7.784,0.0126,2.777,2.742,4.68,2.81,0.35,Sa,S-type
20004523,13.02,16.366,0.136,2.683,2.318,11.09,3.05,0.05,Ch,C-type
20004536,13.91,3.967,0.0839,2.195,2.011,4.17,2.38,0.54,S,S-type
20004558,12.84,7.326,0.3623,2.198,1.402,22.18,2.99,0.29,S,S-type
20004570,13.46,3.944,0.1096,2.198,1.957,5.02,2.44,0.952,Sa,S-type
20004607,13.41,7.389,0.0199,2.263,2.218,2.25,2.31,0.224,L,S-type
20004611,12.09,11.266,0.1924,2.614,2.111,13.8,3.12,0.278,S,S-type
20004619,13.19,9.12,0.0295,2.69,2.61,1.81,2.77,0.161,L,S-type
20004628,11.27,18.719,0.1182,2.643,2.331,11.8,2.96,0.224,S,S-type
20004649,11.51,15.168,0.1205,2.744,2.413,15.41,3.07,0.207,S,S-type
20004650,13.61,5.026,0.1479,2.237,1.907,4.75,2.57,0.331,S,S-type
20004678,13.9,5.003,0.2138,2.265,1.781,3.74,2.75,0.177,S,S-type
20004682,14.56,3.934,0.195,2.27,1.828,3.82,2.71,0.261,S,S-type
20004702,12.68,8.478,0.0926,2.793,2.535,9.36,3.05,0.345,S,S-type
20004706,13.74,5.622,0.1752,2.267,1.87,8.27,2.66,0.244,S,S-type
